Elective_IAT,Elective_LOS,Cancelled_Ops,Cancelled_Ops_Std,Bed_Occupancy,Bed_Occupancy_Std,Bed_Utilization,Bed_Utilization_Std,Wait_Time,Wait_Time_Std,Patient_Count,Patient_Count_Std
25,41.202,186.08,55.400523094856005,20.876695293335946,0.900551200425493,0.8698623038889979,0.03752296668439554,38.39533498243693,30.764792843277103,1490.08,36.18086087806026
25,47.202,189.58,54.87279910513636,20.967050331119594,0.8764881886932442,0.8736270971299832,0.036520341195551836,38.89413286014833,30.92631083129191,1490.08,36.18086087806026
25,53.202,193.6,53.82018436328474,21.053056163210965,0.8442359832555887,0.8772106734671236,0.035176499302316186,39.408016328979414,31.016840807760815,1490.08,36.18086087806026
25,59.202,197.74,52.36754330534071,21.134145823579455,0.8161875807108419,0.8805894093158108,0.03400781586295175,40.10205688717878,31.048977564102913,1490.08,36.18086087806026
25,65.202,201.52,50.78254561141564,21.207659366345524,0.7978405459474691,0.8836524735977302,0.03324335608114455,40.794951387564446,31.300997314168672,1490.08,36.18086087806026
25,71.202,205.1,50.21880694947433,21.2779443362794,0.7718800683102859,0.8865810140116417,0.032161669512928585,41.58730151781637,31.46628258840089,1490.08,36.18086087806026
25,77.202,208.4,49.67609370425865,21.343680879575412,0.7441360409031785,0.8893200366489756,0.03100566837096576,41.95416716990551,31.29102290029015,1490.08,36.18086087806026
30,17.202,141.68,48.13477676995997,20.405452134711474,1.0385232969308933,0.8502271722796447,0.043271804038787214,36.45651684893948,30.625513047243587,1432.56,36.23740315965125
30,23.202,144.46,47.82075802367821,20.49876266353106,1.0168173517495536,0.8541151109804609,0.042367389656231394,36.77011115736465,30.658641582948,1432.56,36.23740315965125
30,29.202,147.3,47.23681113846077,20.587349792267133,0.9883090943569529,0.8578062413444638,0.04117954559820638,37.13520512963458,30.70313604361793,1432.56,36.23740315965125
30,35.202,149.82,46.926207811753095,20.676181976852067,0.9590425880214122,0.8615075823688362,0.03996010783422551,37.56963015602018,30.688678310567592,1432.56,36.23740315965125
30,41.202,152.78,46.531661373779485,20.758537094430963,0.9310547238174471,0.8649390456012901,0.03879394682572696,38.109059687211555,30.7578859755211,1432.56,36.23740315965125
30,47.202,154.96,46.019498972873286,20.84259228867742,0.9110923791607588,0.8684413453615591,0.03796218246503161,38.567214277223286,31.18558573601877,1432.56,36.23740315965125
